"","id","submitdate","lastpage","startlanguage","seed","G01Q01","G01Q02","G01Q03","G01Q04","G01Q05","G01Q06","G02Q07","G02Q26_SQ001","G02Q26_SQ002","G02Q26_SQ003","G02Q26_SQ004","G02Q26_SQ005","G02Q26_SQ006","G02Q26_other","G02Q27","G02Q27_other","G01Q08","G01Q09","G02Q10","G02Q10_comment","G02Q11","G02Q11_comment","G02Q12","G02Q13","G03Q14","G03Q14_comment","G03Q15","G03Q15_comment","G01Q16","G01Q16_comment","G03Q17","G03Q17_comment","G03Q18_SQ001","G03Q18_SQ002","G03Q18_SQ003","G03Q18_SQ004","G03Q18_SQ005","G03Q18_SQ006","G03Q18_SQ007","G03Q18_other","G01Q19_SQ001","G01Q19_SQ002","G01Q19_SQ003","G01Q19_SQ004","G01Q19_SQ005","G01Q19_SQ006","G01Q19_other","G04Q20","G04Q20_comment","G04Q21","G04Q21_comment","G01Q22_SQ001","G01Q22_SQ001comment","G01Q22_SQ002","G01Q22_SQ002comment","G01Q22_SQ003","G01Q22_SQ003comment","G01Q23","G01Q23_comment","G01Q24","G01Q24_comment","G01Q25","G01Q25_comment"
"1",298,"1980-01-01 00:00:00",4,"en","1020025914","female","65 or older","Medical doctor","Other","> 20","Italy","Resident","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"in person",NA,"24h prior to surgery but often its far less because of daily routine practice","24h prior to surgery but often its far less because of daily routine practice","No (please comment the reasons)",NA,"No (please comment the reasons)",NA,"No","No","No (please comment)",NA,"No (please comment)",NA,"No",NA,"No",NA,"Yes","Yes","Yes","Yes","Yes","Not selected","Not selected",NA,"Yes","Not selected","Yes","Yes","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","18 years old","Yes",NA,"Not selected",NA,"No",NA,"Yes",NA,"Yes",NA
"2",299,"1980-01-01 00:00:00",4,"en","1195605624","female","34 or younger","Nurse","Resident","5 - 10","Other","Resident","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"in person",NA,"24h prior to surgery","24h prior to surgery","No (please comment the reasons)",NA,"No (please comment the reasons)",NA,"Yes","I don´t know","No (please comment)",NA,"No (please comment)",NA,"Yes",NA,"Yes",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Not selected",NA,"Not selected",NA,"Yes",NA,"No",NA,"No",NA,"Yes",NA
"3",300,"1980-01-01 00:00:00",4,"en","787598050","female","35 to 44 years","Medical doctor","Consultant","10 - 20","Kosovo","Resident","Yes","Not selected","Yes","Not selected","Not selected","Not selected","Euroscore","in person",NA,"24h prior to surgery","24h prior to surgery","No (please comment the reasons)",NA,"No (please comment the reasons)",NA,"I don´t know the legal requirements","No","No (please comment)",NA,"No (please comment)",NA,"No",NA,"Yes",NA,"Not selected","Yes","Yes","Not selected","Yes","Not selected","Not selected",NA,"Not selected","Yes","Yes","Yes","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","18","Yes",NA,"Not selected",NA,"No",NA,"Yes",NA,"Yes",NA
"4",301,NA,2,"en","426750210","male","55 to 64 years","Medical doctor","Resident","> 20","Italy","Resident","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"2 days or more before surgery","24h prior to surgery but often its far less because of daily routine practice","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"No","I don´t know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",302,"1980-01-01 00:00:00",4,"en","1359164637","male","65 or older","Medical doctor","Consultant","> 20","Other","other","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"in person",NA,"24h prior to surgery but often its far less because of daily routine practice","24h prior to surgery but often its far less because of daily routine practice","No (please comment the reasons)","the law requires face to face consent","No (please comment the reasons)","the law requires face to face consent","No","I don´t know","No (please comment)",NA,"No (please comment)",NA,"Different (please comment)","I know that informed consent can't be obtained online or via telephone","No",NA,"Yes","Yes","Yes","Not selected","Not selected","Not selected","Not selected",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","18","Not selected",NA,"Not selected",NA,"Yes",NA,"Yes",NA,"Yes",NA
"6",303,"1980-01-01 00:00:00",4,"en","874199412","male","45 to 54 years","Medical doctor","Consultant","10 - 20","Switzerland","other","Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"in person",NA,"2 days or more before surgery","Same day of the operation/procedure is sufficient enough","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","I don´t know","No (please comment)",NA,"No (please comment)",NA,"No",NA,"No",NA,"Yes","Not selected","Not selected","Not selected","Not selected","Yes","Not selected",NA,"Not selected","Not selected","Not selected","Yes","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Not selected",NA,"Yes",NA,"Not selected",NA,"No",NA,"No",NA,"No",NA
"7",304,"1980-01-01 00:00:00",4,"en","1470234078","female","45 to 54 years","Medical doctor","Consultant","> 20","Germany","Resident","Yes","Yes","Yes","Not selected","Yes","Not selected",NA,"in person",NA,"24h prior to surgery but often its far less because of daily routine practice","24h prior to surgery but often its far less because of daily routine practice","No (please comment the reasons)",NA,"Yes",NA,"Yes","No","No (please comment)",NA,"Yes",NA,"Yes",NA,"Yes",NA,"Yes","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Yes","Yes","Yes","Yes","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","18","Not selected",NA,"Not selected",NA,"Yes",NA,"No",NA,"No",NA
"8",305,"1980-01-01 00:00:00",4,"en","271488751","male","65 or older","Medical doctor","Consultant","> 20","Sweden","Consultant","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"in person",NA,"2 days or more before surgery","24h prior to surgery but often its far less because of daily routine practice","No (please comment the reasons)",NA,"Yes",NA,"No","I don´t know","Different (please comment)",NA,"Different (please comment)",NA,"No",NA,"No",NA,"Yes","Yes","Yes","Yes","Yes","Not selected","Yes",NA,"Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"Always both parents",NA,"Always both parents",NA,"Not selected",NA,"Yes",NA,"Not selected",NA,"No",NA,"Yes",NA,"Yes",NA
"9",306,"1980-01-01 00:00:00",4,"en","723708834","female","45 to 54 years","Medical doctor","Consultant","> 20","Serbia","Special trained nurse","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"in person",NA,"2 days or more before surgery","2 days or more before surgery","I do not know the legal requirements",NA,"I do not know the legal requirements",NA,"I don´t know the legal requirements","I don´t know","No (please comment)","It is not routine.","No (please comment)","We have pre operative ambulante every day. ","No","I really don’t know","Yes",NA,"Yes","Yes","Yes","Not selected","Not selected","Not selected","Not selected",NA,"Yes","Not selected","Yes","Not selected","Not selected","Not selected",NA,"Just the one, who is present",NA,"Just the one, who is present",NA,"Yes","Age under 16 years","Yes",NA,"Not selected",NA,"No",NA,"No",NA,"No",NA
"10",307,"1980-01-01 00:00:00",4,"en","1311778641","female","55 to 64 years","Medical doctor","Consultant","> 20","Other","Consultant","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"online via videoconference",NA,"24h prior to surgery but often its far less because of daily routine practice","Same day of the operation/procedure is sufficient enough","I do not know the legal requirements","Not yet in practice here","I do not know the legal requirements",NA,"I don´t know the legal requirements","No","No (please comment)",NA,"No (please comment)",NA,"Different (please comment)","Not in practice ","No",NA,"Yes","Not selected","Yes","Not selected","Not selected","Yes","Yes","Face to face discussion in presence of one or more close relatives is must","Yes","Not selected","Not selected","Not selected","Not selected","Not selected",NA,"Always both parents",NA,"Always both parents",NA,"Yes","21","Yes","Still one parent or guardian should be present to sign the consent ","Not selected",NA,"No",NA,"Yes",NA,"Yes",NA
